Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,Nominee,Winner,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_TV Movie,Genre_Thriller,Genre_War,Genre_Western
Bumblebee,2018,6.718,6431,135000000,467989645,424783,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Burnt,2015,6.5,3471,20000000,36606743,295964,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Call Me by Your Name,2017,8.102,12494,3500000,43143046,398818,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Candyman,2021,6.0,1680,25000000,77411570,565028,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Captain America: Civil War,2016,7.448,23516,250000000,1155046416,271110,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Captain Fantastic,2016,7.891,6644,5000000,23123592,334533,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Captain Marvel,2019,6.791,16352,152000000,1131416446,299537,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Carol,2015,7.495,3851,11800000,40272135,258480,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Carry-On,2024,6.888,2478,47000000,0,1005331,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cars 3,2017,6.9,6191,175000000,383925276,260514,0,0,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Central Intelligence,2016,6.417,6174,50000000,216972543,302699,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Challengers,2024,6.939,2427,55000000,94182533,937287,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Chaos Walking,2021,6.562,2458,125000000,26508132,412656,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
