distance,kicker,result,target
34,N.Folk,Make,1
33,T.Bass,Miss,0
46,J.Elliott,Miss,0
40,M.Wright,Make,1
33,J.Sanders,Make,1
24,J.Sanders,Make,1
58,J.Sanders,Miss,0
54,M.Wright,Make,1
53,M.Wright,Make,1
50,D.Hopkins,Make,1
52,H.Butker,Make,1
43,D.Hopkins,Make,1
42,D.Hopkins,Miss,0
27,G.Gano,Make,1
32,M.Gay,Make,1
41,M.Badgley,Make,1
31,K.Fairbairn,Make,1
38,E.McPherson,Make,1
40,E.McPherson,Make,1
35,A.Seibert,Make,1
39,M.Crosby,Make,1
52,J.Tucker,Make,1
39,J.Tucker,Make,1
25,G.Joseph,Make,1
25,G.Joseph,Make,1
47,Z.Gonzalez,Make,1
38,G.Joseph,Make,1
50,G.Joseph,Miss,0
23,Z.Gonzalez,Make,1
47,G.Joseph,Miss,0
36,M.Prater,Make,1
51,M.Prater,Make,1
33,M.Prater,Make,1
50,D.Carlson,Make,1
43,D.Carlson,Miss,0
32,B.McManus,Make,1
30,D.Carlson,Make,1
30,G.Zuerlein,Make,1
45,G.Zuerlein,Make,1
51,G.Zuerlein,Miss,0
49,G.Zuerlein,Make,1
27,C.Boswell,Make,1
40,J.Myers,Make,1
52,C.Boswell,Make,1
43,J.Myers,Make,1
37,C.Boswell,Make,1
24,T.Bass,Make,1
28,T.Bass,Make,1
43,R.Bullock,Make,1
52,T.Bass,Make,1
38,R.Bullock,Make,1
30,H.Butker,Make,1
33,H.Butker,Make,1
25,M.Badgley,Make,1
41,M.Badgley,Make,1
49,M.Badgley,Miss,0
25,N.Folk,Make,1
35,G.Gano,Make,1
26,G.Zuerlein,Make,1
42,G.Zuerlein,Make,1
27,G.Zuerlein,Make,1
42,G.Gano,Make,1
22,M.Wright,Make,1
52,K.Fairbairn,Make,1
51,K.Fairbairn,Make,1
25,K.Fairbairn,Make,1
38,M.Wright,Make,1
35,M.Wright,Make,1
26,R.Bullock,Make,1
36,C.Boswell,Make,1
32,R.Bullock,Make,1
56,C.Boswell,Miss,0
28,C.Boswell,Make,1
46,C.Boswell,Make,1
48,C.Boswell,Make,1
27,E.Pineiro,Make,1
24,J.Sanders,Make,1
37,R.Patterson,Make,1
29,M.Prater,Make,1
29,M.Prater,Make,1
47,R.Patterson,Make,1
45,R.Patterson,Make,1
26,T.Bass,Make,1
53,E.McPherson,Make,1
54,B.McManus,Make,1
51,B.McManus,Miss,0
58,E.McPherson,Make,1
26,E.McPherson,Make,1
48,Y.Koo,Make,1
30,R.Gould,Make,1
22,Y.Koo,Make,1
38,J.Tucker,Make,1
29,M.Crosby,Make,1
39,B.Maher,Make,1
35,B.Maher,Make,1
45,R.Succop,Miss,0
42,B.Maher,Make,1
24,D.Carlson,Make,1
47,C.McLaughlin,Miss,0
40,D.Carlson,Make,1
48,D.Carlson,Make,1
37,G.Joseph,Make,1
34,C.Santos,Make,1
49,D.Tomlinson,Make,1
55,M.Gay,Make,1
39,J.Myers,Make,1
35,M.Gay,Make,1
22,B.Johnson,Make,1
20,J.Elliott,Make,1
37,J.Elliott,Make,1
31,J.Slye,Make,1
39,J.Slye,Make,1
55,J.Slye,Make,1
42,J.Elliott,Make,1
41,J.Elliott,Make,1
56,M.Gay,Miss,0
22,J.Tucker,Make,1
46,J.Tucker,Make,1
46,J.Tucker,Make,1
34,J.Tucker,Make,1
39,R.Succop,Make,1
51,E.Pineiro,Make,1
27,R.Succop,Make,1
23,R.Bullock,Make,1
39,J.Sanders,Make,1
53,D.Autry,Make,1
44,R.Bullock,Make,1
29,M.Wright,Make,1
43,N.Folk,Make,1
47,D.Carlson,Make,1
46,M.Badgley,Make,1
44,D.Carlson,Make,1
41,M.Badgley,Make,1
33,D.Carlson,Make,1
46,E.McPherson,Make,1
34,H.Butker,Make,1
20,E.McPherson,Make,1
38,G.Gano,Make,1
21,C.Santos,Make,1
44,C.Santos,Make,1
28,Y.Koo,Make,1
24,Y.Koo,Make,1
37,R.Gould,Make,1
45,K.Fairbairn,Miss,0
27,R.Gould,Make,1
36,R.Gould,Make,1
19,D.Hopkins,Make,1
61,B.McManus,Make,1
23,D.Hopkins,Make,1
23,B.McManus,Make,1
32,L.Hajrullahu,Make,1
41,B.Maher,Make,1
27,B.Maher,Make,1
41,B.Maher,Make,1
33,B.Maher,Make,1
47,L.Hajrullahu,Miss,0
51,J.Myers,Make,1
55,R.Patterson,Miss,0
36,J.Myers,Make,1
42,J.Myers,Make,1
24,M.Prater,Make,1
43,G.Zuerlein,Miss,0
53,M.Prater,Make,1
26,M.Prater,Make,1
38,M.Prater,Make,1
35,M.Crosby,Make,1
36,M.Crosby,Make,1
51,G.Joseph,Make,1
37,M.Crosby,Make,1
22,C.Boswell,Make,1
30,C.Boswell,Make,1
50,C.Boswell,Make,1
48,C.Boswell,Make,1
32,N.Folk,Make,1
50,Y.Koo,Miss,0
44,N.Folk,Make,1
53,N.Folk,Make,1
33,N.Folk,Make,1
50,J.Elliott,Make,1
37,J.Elliott,Make,1
33,J.Elliott,Make,1
47,J.Elliott,Make,1
28,B.Maher,Make,1
55,M.Ammendola,Miss,0
32,J.Sanders,Miss,0
40,M.Ammendola,Miss,0
24,J.Sanders,Make,1
35,M.Ammendola,Make,1
36,J.Slye,Make,1
29,J.Slye,Make,1
36,M.Badgley,Make,1
57,T.Bass,Miss,0
49,T.Bass,Miss,0
35,M.Badgley,Make,1
46,C.McLaughlin,Miss,0
43,A.Rosas,Make,1
20,R.Gould,Make,1
